title,description,date,source,url,sentiment,confidence,positive_Score,neutral_Score,negative_Score,impact_Score
"Gold edges up to Rs 88,790 per 10 g, silver drops by Rs 350","Snapping its three-day losing run, gold rebounded to Rs 88,790 per 10 grams in the national capital on Tuesday amid firm global trends, according to the All India Sarafa Association. The precious metal of 99.9 per cent purity rose by Rs 40 to Rs 88,790 per 10 grams from the last close of Rs 88,750 per 10 grams.",19 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/commodities/gold-edges-up-to-rs-88790-per-10-g-silver-drops-by-rs-350/articleshow/118893756.cms,positive,0.9995757937431335,0.9995757937431335,0.0,0.0,0.9995757937431335
Issue of AIFs circumventing regulations resolved: Sebi member,"Sebi's whole-time member Ananth Narayan G on Tuesday said the issue of alternative investment funds (AIFs) has been ""resolved"" after a year-long dialogue between the capital markets regulator and the industry.",22 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/issue-of-aifs-circumventing-regulations-resolved-sebi-member/articleshow/118893645.cms,neutral,0.9606943130493164,0.0,0.9606943130493164,0.0,0.0
Noida Airport Delay To Cost Tata Projects Rs 3 Crore Monthly,"Although the runway and control tower are complete, the terminal building remains under construction, awaiting interior finishing work.",26 minutes ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/noida-airport-delay-to-cost-tata-projects-rs-3-crore-monthly,negative,0.970428466796875,0.0,0.0,0.970428466796875,-0.970428466796875
HDFC Securities pays Rs 65 lakh to Sebi to settle regulatory violations,Domestic brokerage HDFC Securities on Tuesday settled with markets watchdog Sebi a case pertaining to alleged non-compliance with regulatory norms on payment of Rs 65 lakh towards settlement amount.,26 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-pays-rs-65-lakh-to-sebi-to-settle-regulatory-violations/articleshow/118893488.cms,positive,0.9658637642860413,0.9658637642860413,0.0,0.0,0.9658637642860413
"Student recruitment solution provider Crizac gets Sebi's nod to float Rs 1,000-cr IPO","Student recruitment solution provider Crizac Ltd has received Sebi's go-ahead to garner Rs 1,000 crore through an initial public offering (IPO), an update with the markets regulator showed on Tuesday. The proposed IPO is entirely an offer for sale by promoters, Pinky Agarwal and Manish Agarwal, with no fresh issue component, according to the draft red herring prospectus (DRHP).",30 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/student-recruitment-solution-provider-crizac-gets-sebis-nod-to-float-rs-1000-cr-ipo/articleshow/118893364.cms,positive,0.9990891218185425,0.9990891218185425,0.0,0.0,0.9990891218185425
IndusInd Bank to see profit in Q4 even after derivatives losses: MD & CEO Sumant Kathpalia,IndusInd Bank CEO Sumant Kathpalia assured profitability in Q4FY25 despite derivative losses. He confirmed the bank's Capital Adequacy Ratio will stay above 15% and stated losses will be absorbed through P&L. The stock fell 26% following accounting discrepancies.,31 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/indusind-bank-to-see-profit-in-q4-even-after-derivatives-losses-md-ceo-sumant-kathpalia/articleshow/118893327.cms,positive,0.9995033740997314,0.9995033740997314,0.0,0.0,0.9995033740997314
"Education Platform Crizac Gets SEBI Nod For Rs 1,000-Crore IPO",The OFS consists a sale of equity shares of up to Rs 841 crore by Pinky Agarwal and up to Rs 159 crore by Manish Agarwal.,34 minutes ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/education-platform-crizac-gets-sebi-nod-for-ipo,neutral,0.9998862743377686,0.0,0.9998862743377686,0.0,0.0
"ET Market Watch: Sensex and Nifty close flat, banks & IT bleed",No description available,1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-and-nifty-close-flat-banks-it-bleed/podcast/118892151.cms,negative,0.6633656024932861,0.0,0.0,0.6633656024932861,-0.6633656024932861
"Breakdown Stocks: How to trade IndusInd Bank, Birlasoft & Yes Bank that hit fresh 52-week low?","Indian markets closed mixed on Tuesday amid muted global cues. Sensex ended flat, while Nifty slipped below 22,500. Energy and telecom stocks gained, whereas banks, auto, and IT stocks faced selling pressure. IndusInd Bank tumbled 27%, hitting a fresh low.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/breakdown-stocks-how-to-trade-indusind-bank-birlasoft-amp-yes-bank-that-hit-fresh-52-week-low/slideshow/118892185.cms,negative,0.998051643371582,0.0,0.0,0.998051643371582,-0.998051643371582
"These 4 FMCG stocks hit 52-week low, fallen up to 15% in a month","Four BSE FMCG stocks—Flair Writing, Cupid, Hatsun Agro, and P&G Hygiene—hit 52-week lows amid a broader market dip. Investors assess fundamentals to determine buying opportunities or potential risks.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/web-stories/these-4-fmcg-stocks-hit-52-week-low-fallen-up-to-15-in-a-month/slideshow/118891704.cms,negative,0.9978433847427368,0.0,0.0,0.9978433847427368,-0.9978433847427368
Top 5 stocks see increased insurance shareholding,"Insurance firms raised stakes in Nifty500 stocks last quarter, signaling confidence. Bank of Maharashtra (8.69%), Cochin Shipyard (2.95%), and IDFC First Bank (10.9%) saw the highest increases in insurance shareholding.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/web-stories/top-5-stocks-see-increased-insurance-shareholding/slideshow/118891428.cms,positive,0.9996415376663208,0.9996415376663208,0.0,0.0,0.9996415376663208
LIC's holding value in IndusInd Bank falls by Rs 894 crore as stock falls 26%,"Life Insurance Corporation’s (LIC) holding in IndusInd Bank lost ₹894 crore in value after the bank’s stock fell 26% amid concerns over forex derivatives discrepancies. Following the disclosure, brokerages downgraded the stock, citing governance and earnings risks.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/lics-holding-value-in-indusind-bank-falls-by-rs-894-crore-as-stock-falls-26/articleshow/118891159.cms,negative,0.9981347322463989,0.0,0.0,0.9981347322463989,-0.9981347322463989
Airtel signs distribution pact to bring Starlink to India,The agreement would be contingent on Starlink receiving requisite approvals to begin operations in India,1.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/Industry/airtel-signs-distribution-pact-to-bring-starlink-to-india/article69317322.ece,positive,0.9984056353569031,0.9984056353569031,0.0,0.0,0.9984056353569031
"Logistics Park In Varanasi: Highways Ministry Arm, Inland Waterways Authority Ink Pact","The project aligns with the ministry's goal of lowering logistics cost in India, so as to make Indian products more globally competitive.",1.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/logistics-park-in-varanasi-highways-ministry-arm-inland-waterways-authority-ink-pact,positive,0.9994358420372009,0.9994358420372009,0.0,0.0,0.9994358420372009
What should be the first thing to do when starting a personal finance journey? Nithin Kamath has an answer,"Nithin Kamath emphasizes securing life and health insurance before investing. He advises against stopping SIPs amid market corrections, stressing long-term investing benefits. His blog highlights key insurance considerations for 2025.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/what-should-be-the-first-thing-to-do-when-starting-a-personal-finance-journey-nithin-kamath-has-an-answer/articleshow/118890555.cms,neutral,0.9997028708457947,0.0,0.9997028708457947,0.0,0.0
SMEs floating IPOs will face more stricter norms including a 20% cap on OFS and promoter lock-in periods,"Sebi has tightened SME IPO rules, enforcing profitability criteria, capping offer-for-sale, increasing promoter lock-in, and limiting fund usage. The move aims to enhance investor protection, curb speculation, and ensure market credibility.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/smes-floating-ipos-will-face-more-stricter-norms-including-a-20-cap-on-ofs-and-promoter-lock-in-periods/articleshow/118890346.cms,positive,0.9720078110694885,0.9720078110694885,0.0,0.0,0.9720078110694885
Bitcoin sinks 30% since Trump’s inauguration: Market correction or bear phase?,"Bitcoin has fallen 30% from its all-time high, sparking concerns over a bear phase. Experts see it as a correction, citing macroeconomic factors, market liquidity shifts, and historical recovery patterns.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-news/bitcoin-sinks-30-since-trumps-inauguration-market-correction-or-bear-phase/articleshow/118890245.cms,negative,0.9983100891113281,0.0,0.0,0.9983100891113281,-0.9983100891113281
Sensex  falls! But these  stocks gained over 10% on BSE,"In the Nifty 50 index, 29 stocks ended in the green, while 21 stocks closed in the red in today's trade.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-falls-but-these-stocks-gained-over-10-on-bse/articleshow/118890241.cms,positive,0.9996267557144165,0.9996267557144165,0.0,0.0,0.9996267557144165
"Sensex, Nifty settle almost flat in lacklustre trade","The 30-share BSE Sensex dropped 12.85 points or 0.02% to settle at 74,102.32. During the day, it slumped 451.57 points or 0.61% to hit a low of 73,663.60",2 hours ago,— The Hindu Business,https://www.thehindu.com/business/markets/sensex-nifty-settle-almost-flat-in-lacklustre-trade/article69317128.ece,negative,0.9981465339660645,0.0,0.0,0.9981465339660645,-0.9981465339660645
Stock market update: Nifty Auto index  falls  0.34%,The Nifty Auto index closed 0.34 per cent  down  at 20682.65.,2 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-falls-0-34/articleshow/118889385.cms,negative,0.9951190948486328,0.0,0.0,0.9951190948486328,-0.9951190948486328
"Coinbase To Re-Enter India, Registers With FIU To Offer Crypto Trading Services",This marks Coinbase’s second attempt in India after it exited in 2023 due to regulatory challenges,2 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/crypto/coinbase-to-re-enter-india-registers-with-fiu-to-offer-crypto-trading-services,neutral,0.9998399019241333,0.0,0.9998399019241333,0.0,0.0
"At current profits, 6G may be delayed, telecom association warns","Lt. Gen. (retd.) S.P. Kochhar, the director general of the Cellular Operators Association of India, warned that 6G deployments may be delayed if telecom operators’ profits didn’t increase.",2 hours ago,— The Hindu Business,https://www.thehindu.com/sci-tech/technology/at-current-profits-6g-may-be-delayed-telecom-association-warns/article69317153.ece,negative,0.9977942705154419,0.0,0.0,0.9977942705154419,-0.9977942705154419
PhonePe Reaches 60 Crore Users Amidst IPO Preparations And Celebrates 10th Anniversary,"In the 10 years, the company has diversified its operations to wealth management, e-commerce with Pincode etc.",2 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/phonepe-reaches-60-crore-users-amidst-ipo-preparations-and-celebrates-10th-anniversary,neutral,0.7292452454566956,0.0,0.7292452454566956,0.0,0.0
